population,species,scaled_size,scaled_n,normal_better,mean_size,population_n,dat,model_fit,vector_icon
Trachinops caudimaculatus__-43_147,Trachinops caudimaculatus,0.40966390397107005,0.28758923202639575,FALSE,6.102563530167756,627143,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_147,Trachinops caudimaculatus,0.8193278079421401,1,FALSE,6.102563530167756,627143,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_147,Trachinops caudimaculatus,1.22899171191321,0.9241084506390786,FALSE,6.102563530167756,627143,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_147,Trachinops caudimaculatus,1.6386556158842802,0.18830077552845403,FALSE,6.102563530167756,627143,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_147,Trachinops caudimaculatus,2.04831951985535,0.01636627145037697,FALSE,6.102563530167756,627143,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_147,Trachinops caudimaculatus,2.45798342382642,9.59774279591113e-4,FALSE,6.102563530167756,627143,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_147,Trachinops caudimaculatus,3.2773112317685604,7.70903035816155e-6,FALSE,6.102563530167756,627143,rls,TRUE,FALSE
Trachinops taeniatus__-35_151,Trachinops taeniatus,0.38581042696973816,0.21218149496317615,TRUE,6.479866341704885,553501,rls,TRUE,FALSE
Trachinops taeniatus__-35_151,Trachinops taeniatus,0.7716208539394763,0.6984831810870921,TRUE,6.479866341704885,553501,rls,TRUE,FALSE
Trachinops taeniatus__-35_151,Trachinops taeniatus,1.1574312809092144,1,TRUE,6.479866341704885,553501,rls,TRUE,FALSE
Trachinops taeniatus__-35_151,Trachinops taeniatus,1.5432417078789529,0.18445780072801152,TRUE,6.479866341704885,553501,rls,TRUE,FALSE
Trachinops taeniatus__-35_151,Trachinops taeniatus,1.9290521348486904,0.03466135151566456,TRUE,6.479866341704885,553501,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,0.1841860739823845,0.00190099768187692,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,0.368372147964769,0.02053487783696551,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,0.5525582219471535,0.2257127031776749,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,0.736744295929538,0.4459617475502431,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,0.9209303699119226,0.9345113136714556,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,1.105116443894307,1,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,1.473488591859076,0.3666190277559338,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,1.8418607398238451,0.03197505453401624,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,2.210232887788614,6.564596311517448e-4,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-35_151,Trachurus novaezelandiae,2.5786050357533834,2.461723616819043e-4,TRUE,13.573230298828673,442829,rls,TRUE,FALSE
Trachurus novaezelandiae__-33_152,Trachurus novaezelandiae,0.4295179935034951,0.09152940691418088,FALSE,11.64095585196785,321849,rls,TRUE,FALSE
Trachurus novaezelandiae__-33_152,Trachurus novaezelandiae,0.6442769902552427,0.5184811065987754,FALSE,11.64095585196785,321849,rls,TRUE,FALSE
Trachurus novaezelandiae__-33_152,Trachurus novaezelandiae,0.8590359870069902,0.9601104949596982,FALSE,11.64095585196785,321849,rls,TRUE,FALSE
Trachurus novaezelandiae__-33_152,Trachurus novaezelandiae,1.0737949837587375,1,FALSE,11.64095585196785,321849,rls,TRUE,FALSE
Trachurus novaezelandiae__-33_152,Trachurus novaezelandiae,1.2885539805104853,0.5726669277865963,FALSE,11.64095585196785,321849,rls,TRUE,FALSE
Trachurus novaezelandiae__-33_152,Trachurus novaezelandiae,1.7180719740139805,0.15940340967655486,FALSE,11.64095585196785,321849,rls,TRUE,FALSE
Trachurus novaezelandiae__-33_152,Trachurus novaezelandiae,2.147589967517475,0.01289451442000453,FALSE,11.64095585196785,321849,rls,TRUE,FALSE
Trachurus novaezelandiae__-33_152,Trachurus novaezelandiae,2.5771079610209706,0.00228823517285452,FALSE,11.64095585196785,321849,rls,TRUE,FALSE
Trachurus novaezelandiae__-33_152,Trachurus novaezelandiae,3.006625954524466,4.122946257395535e-5,FALSE,11.64095585196785,321849,rls,TRUE,FALSE
Trachinops taeniatus__-34_151,Trachinops taeniatus,0.40037822928224864,0.35034532961667525,TRUE,6.24409575036512,280730,rls,TRUE,FALSE
Trachinops taeniatus__-34_151,Trachinops taeniatus,0.8007564585644973,1,TRUE,6.24409575036512,280730,rls,TRUE,FALSE
Trachinops taeniatus__-34_151,Trachinops taeniatus,1.201134687846746,0.7547271984801945,TRUE,6.24409575036512,280730,rls,TRUE,FALSE
Trachinops taeniatus__-34_151,Trachinops taeniatus,1.6015129171289946,0.3254088027981464,TRUE,6.24409575036512,280730,rls,TRUE,FALSE
Trachinops taeniatus__-34_151,Trachinops taeniatus,2.001891146411243,0.06166219839142091,TRUE,6.24409575036512,280730,rls,TRUE,FALSE
Atypichthys strigatus__-35_151,Atypichthys strigatus,0.319364768681181,0.05416148441964436,FALSE,7.828039424397895,271507,rls,TRUE,FALSE
Atypichthys strigatus__-35_151,Atypichthys strigatus,0.638729537362362,0.5329422837742445,FALSE,7.828039424397895,271507,rls,TRUE,FALSE
Atypichthys strigatus__-35_151,Atypichthys strigatus,0.9580943060435432,1,FALSE,7.828039424397895,271507,rls,TRUE,FALSE
Atypichthys strigatus__-35_151,Atypichthys strigatus,1.277459074724724,0.4914450905912804,FALSE,7.828039424397895,271507,rls,TRUE,FALSE
Atypichthys strigatus__-35_151,Atypichthys strigatus,1.596823843405905,0.16338364314766882,FALSE,7.828039424397895,271507,rls,TRUE,FALSE
Atypichthys strigatus__-35_151,Atypichthys strigatus,1.916188612087086,0.03816935023025984,FALSE,7.828039424397895,271507,rls,TRUE,FALSE
Atypichthys strigatus__-35_151,Atypichthys strigatus,2.554918149449448,0.00147904131231301,FALSE,7.828039424397895,271507,rls,TRUE,FALSE
Atypichthys strigatus__-35_151,Atypichthys strigatus,3.19364768681181,3.361457527984134e-5,FALSE,7.828039424397895,271507,rls,TRUE,FALSE
Atypichthys strigatus__-35_151,Atypichthys strigatus,3.832377224174172,3.361457527984134e-5,FALSE,7.828039424397895,271507,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_148,Trachinops caudimaculatus,0.3604981483119152,0.13270688196432107,TRUE,6.934848380516273,232358,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_148,Trachinops caudimaculatus,0.7209962966238304,0.6050476139043401,TRUE,6.934848380516273,232358,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_148,Trachinops caudimaculatus,1.0814944449357455,1,TRUE,6.934848380516273,232358,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_148,Trachinops caudimaculatus,1.4419925932476607,0.3102914438983997,TRUE,6.934848380516273,232358,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_148,Trachinops caudimaculatus,1.802490741559576,0.04269050062105092,TRUE,6.934848380516273,232358,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_148,Trachinops caudimaculatus,2.162988889871491,6.390524022969883e-4,TRUE,6.934848380516273,232358,rls,TRUE,FALSE
Trachinops caudimaculatus__-43_148,Trachinops caudimaculatus,2.8839851864953214,1.8001476121041924e-5,TRUE,6.934848380516273,232358,rls,TRUE,FALSE
Chromis hypsilepis__-32_159,Chromis hypsilepis,0.3008311895033601,0.28995585983244754,TRUE,8.310308529269292,214696,rls,TRUE,FALSE
Chromis hypsilepis__-32_159,Chromis hypsilepis,0.6016623790067201,1,TRUE,8.310308529269292,214696,rls,TRUE,FALSE
Chromis hypsilepis__-32_159,Chromis hypsilepis,0.9024935685100802,0.8279254121250338,TRUE,8.310308529269292,214696,rls,TRUE,FALSE
Chromis hypsilepis__-32_159,Chromis hypsilepis,1.2033247580134403,0.939536978650572,TRUE,8.310308529269292,214696,rls,TRUE,FALSE
Chromis hypsilepis__-32_159,Chromis hypsilepis,1.5041559475168005,0.5778218178542474,TRUE,8.310308529269292,214696,rls,TRUE,FALSE
Chromis hypsilepis__-32_159,Chromis hypsilepis,1.8049871370201604,0.2127916403927574,TRUE,8.310308529269292,214696,rls,TRUE,FALSE
Chromis hypsilepis__-32_159,Chromis hypsilepis,2.4066495160268806,0.02001621475542744,TRUE,8.310308529269292,214696,rls,TRUE,FALSE
Trachinops noarlungae__-35_138,Trachinops noarlungae,0.4984145590950385,0.6022349358443445,FALSE,5.0159048414219685,170074,rls,TRUE,FALSE
Trachinops noarlungae__-35_138,Trachinops noarlungae,0.996829118190077,1,FALSE,5.0159048414219685,170074,rls,TRUE,FALSE
Trachinops noarlungae__-35_138,Trachinops noarlungae,1.4952436772851156,0.5228399230386973,FALSE,5.0159048414219685,170074,rls,TRUE,FALSE
Trachinops noarlungae__-35_138,Trachinops noarlungae,1.993658236380154,0.03321823116423083,FALSE,5.0159048414219685,170074,rls,TRUE,FALSE
Trachinops noarlungae__-35_138,Trachinops noarlungae,2.4920727954751927,0.00854984008868388,FALSE,5.0159048414219685,170074,rls,TRUE,FALSE
Trachinops noarlungae__-35_138,Trachinops noarlungae,2.9904873545702313,1.4016131292924402e-4,FALSE,5.0159048414219685,170074,rls,TRUE,FALSE
Trachinops noarlungae__-35_138,Trachinops noarlungae,3.987316472760308,8.919356277315529e-5,FALSE,5.0159048414219685,170074,rls,TRUE,FALSE
Trachinops noarlungae__-36_138,Trachinops noarlungae,0.5395736185698395,0.7380121177149452,FALSE,4.63328805182571,146491,rls,TRUE,FALSE
Trachinops noarlungae__-36_138,Trachinops noarlungae,1.079147237139679,1,FALSE,4.63328805182571,146491,rls,TRUE,FALSE
Trachinops noarlungae__-36_138,Trachinops noarlungae,1.6187208557095183,0.32554818234275823,FALSE,4.63328805182571,146491,rls,TRUE,FALSE
Trachinops noarlungae__-36_138,Trachinops noarlungae,2.158294474279358,0.04737449509521062,FALSE,4.63328805182571,146491,rls,TRUE,FALSE
Trachinops noarlungae__-36_138,Trachinops noarlungae,2.697868092849198,0.00204847085978072,FALSE,4.63328805182571,146491,rls,TRUE,FALSE
Trachinops noarlungae__-36_138,Trachinops noarlungae,3.237441711419037,2.8851702250432778e-5,FALSE,4.63328805182571,146491,rls,TRUE,FALSE
Trachinops noarlungae__-36_138,Trachinops noarlungae,4.316588948558716,2.4523946912867e-4,FALSE,4.63328805182571,146491,rls,TRUE,FALSE
Chromis hypsilepis__-35_151,Chromis hypsilepis,0.27108532356449283,0.23803530619680055,TRUE,9.222188671550247,127502,rls,TRUE,FALSE
Chromis hypsilepis__-35_151,Chromis hypsilepis,0.5421706471289857,0.7249031232404862,TRUE,9.222188671550247,127502,rls,TRUE,FALSE
Chromis hypsilepis__-35_151,Chromis hypsilepis,0.8132559706934784,1,TRUE,9.222188671550247,127502,rls,TRUE,FALSE
Chromis hypsilepis__-35_151,Chromis hypsilepis,1.084341294257971,0.905607259960918,TRUE,9.222188671550247,127502,rls,TRUE,FALSE
Chromis hypsilepis__-35_151,Chromis hypsilepis,1.355426617822464,0.9797304010863446,TRUE,9.222188671550247,127502,rls,TRUE,FALSE
Chromis hypsilepis__-35_151,Chromis hypsilepis,1.6265119413869569,0.3140794223826715,TRUE,9.222188671550247,127502,rls,TRUE,FALSE
Chromis hypsilepis__-35_151,Chromis hypsilepis,2.168682588515942,0.06054383466366376,TRUE,9.222188671550247,127502,rls,TRUE,FALSE
Chromis nitida__-23_151,Chromis nitida,0.4770341961275292,0.20467873615352183,TRUE,5.240714439959469,120402,rls,TRUE,FALSE
Chromis nitida__-23_151,Chromis nitida,0.9540683922550584,1,TRUE,5.240714439959469,120402,rls,TRUE,FALSE
Chromis nitida__-23_151,Chromis nitida,1.4311025883825876,0.3144667748406138,TRUE,5.240714439959469,120402,rls,TRUE,FALSE
Chromis nitida__-23_151,Chromis nitida,1.908136784510117,0.01916467566980541,TRUE,5.240714439959469,120402,rls,TRUE,FALSE
Atypichthys strigatus__-33_152,Atypichthys strigatus,0.34433661090537604,0.09641625431099116,FALSE,7.260337474503988,113253,rls,TRUE,FALSE
Atypichthys strigatus__-33_152,Atypichthys strigatus,0.6886732218107521,0.7882312619154724,FALSE,7.260337474503988,113253,rls,TRUE,FALSE
Atypichthys strigatus__-33_152,Atypichthys strigatus,1.033009832716128,1,FALSE,7.260337474503988,113253,rls,TRUE,FALSE
Atypichthys strigatus__-33_152,Atypichthys strigatus,1.3773464436215042,0.3663003663003663,FALSE,7.260337474503988,113253,rls,TRUE,FALSE
Atypichthys strigatus__-33_152,Atypichthys strigatus,1.7216830545268802,0.14553477711372448,FALSE,7.260337474503988,113253,rls,TRUE,FALSE
Atypichthys strigatus__-33_152,Atypichthys strigatus,2.066019665432256,0.02823297560139665,FALSE,7.260337474503988,113253,rls,TRUE,FALSE
Atypichthys strigatus__-33_152,Atypichthys strigatus,2.7546928872430083,0.00128526444315918,FALSE,7.260337474503988,113253,rls,TRUE,FALSE
Trachinops taeniatus__-30_153,Trachinops taeniatus,0.4662320539115149,0.15391407891039963,FALSE,5.362136684996071,108205,rls,TRUE,FALSE
Trachinops taeniatus__-30_153,Trachinops taeniatus,0.9324641078230296,1,FALSE,5.362136684996071,108205,rls,TRUE,FALSE
Trachinops taeniatus__-30_153,Trachinops taeniatus,1.3986961617345446,0.23424267155452683,FALSE,5.362136684996071,108205,rls,TRUE,FALSE
Trachinops taeniatus__-30_153,Trachinops taeniatus,1.8649282156460592,0.04923537990179682,FALSE,5.362136684996071,108205,rls,TRUE,FALSE
Trachinops taeniatus__-30_153,Trachinops taeniatus,2.331160269557574,0.01030196807727814,FALSE,5.362136684996071,108205,rls,TRUE,FALSE
Chromis hypsilepis__-36_150,Chromis hypsilepis,0.25516929312006925,0.11087007967184666,TRUE,9.797417116422515,103760,rls,TRUE,FALSE
Chromis hypsilepis__-36_150,Chromis hypsilepis,0.5103385862401385,0.6054665930425179,TRUE,9.797417116422515,103760,rls,TRUE,FALSE
Chromis hypsilepis__-36_150,Chromis hypsilepis,0.7655078793602077,1,TRUE,9.797417116422515,103760,rls,TRUE,FALSE
Chromis hypsilepis__-36_150,Chromis hypsilepis,1.020677172480277,0.9344087717914332,TRUE,9.797417116422515,103760,rls,TRUE,FALSE
Chromis hypsilepis__-36_150,Chromis hypsilepis,1.2758464656003463,0.7745128973731955,TRUE,9.797417116422515,103760,rls,TRUE,FALSE
Chromis hypsilepis__-36_150,Chromis hypsilepis,1.5310157587204154,0.6156819436775263,TRUE,9.797417116422515,103760,rls,TRUE,FALSE
Chromis hypsilepis__-36_150,Chromis hypsilepis,2.041354344960554,0.05151060976571744,TRUE,9.797417116422515,103760,rls,TRUE,FALSE
Atypichthys strigatus__-34_151,Atypichthys strigatus,0.322220407753087,0.1416768405212799,FALSE,7.758664379556354,102604,rls,TRUE,FALSE
Atypichthys strigatus__-34_151,Atypichthys strigatus,0.644440815506174,0.793986542119758,FALSE,7.758664379556354,102604,rls,TRUE,FALSE
Atypichthys strigatus__-34_151,Atypichthys strigatus,0.9666612232592612,1,FALSE,7.758664379556354,102604,rls,TRUE,FALSE
Atypichthys strigatus__-34_151,Atypichthys strigatus,1.288881631012348,0.6427131540842111,FALSE,7.758664379556354,102604,rls,TRUE,FALSE
Atypichthys strigatus__-34_151,Atypichthys strigatus,1.6111020387654351,0.27145736918315777,FALSE,7.758664379556354,102604,rls,TRUE,FALSE
Atypichthys strigatus__-34_151,Atypichthys strigatus,1.933322446518522,0.06215042162346327,FALSE,7.758664379556354,102604,rls,TRUE,FALSE
Atypichthys strigatus__-34_151,Atypichthys strigatus,2.577763262024696,9.369410294994465e-4,FALSE,7.758664379556354,102604,rls,TRUE,FALSE
Atypichthys strigatus__-34_151,Atypichthys strigatus,3.2222040775308702,2.8392152409074133e-5,FALSE,7.758664379556354,102604,rls,TRUE,FALSE
