population,mu_05,mu_10,mu_50,mu_90,mu_95,sigma_05,sigma_10,sigma_50,sigma_90,sigma_95,logl_50_norm,dat,meanlog_05,meanlog_10,meanlog_50,meanlog_90,meanlog_95,sdlog_05,sdlog_10,sdlog_50,sdlog_90,sdlog_95,logl_50_lnorm,mean_05_norm,mean_10_norm,mean_50_norm,mean_90_norm,mean_95_norm,cv_05_norm,cv_10_norm,cv_50_norm,cv_90_norm,cv_95_norm,mean_05_lnorm,mean_10_lnorm,mean_50_lnorm,mean_90_lnorm,mean_95_lnorm,cv_05_lnorm,cv_10_lnorm,cv_50_lnorm,cv_90_lnorm,cv_95_lnorm,population_n,species,fished,bimodal,normal_better,better_dist,cov_pref,mean_size,col
Abudefduf bengalensis__Abudefduf bengalensis,10.98093509659422,11.176015962034972,11.650203492139717,12.11827794005812,12.273519397716507,3.0581208545126177,3.1478581435958626,3.5228826518248164,4.156127602932597,4.480104680856314,-41.241234853956485,rls,2.2158678119507513,2.264221298710426,2.373934230647734,2.4472644110202446,2.464640592888086,0.28521359212795394,0.29824487500742203,0.3624220564998728,0.4647289076369264,0.5121281578246173,-52.08974547752315,11.072824957830523,11.221412273150538,11.673268367231817,12.15265354982198,12.319887854964003,0.26072307673704787,0.26767182078104895,0.29942356155658345,0.3490415174223316,0.37263116996670886,10.079397374140752,10.53964209122209,11.467050013858277,12.27747358549866,12.59245640106011,0.2911134043139387,0.305001655137671,0.3746552434344688,0.4909875936359384,0.5476169207500273,10174,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.29942356155658345,11.612197758993512,rls_norm
Abudefduf sexfasciatus__Abudefduf sexfasciatus,9.14345354340691,9.26245256162157,9.570171897758392,9.864965057595509,9.971337305192508,2.8125021769540486,2.869281723930881,3.0695315519071467,3.355092201281963,3.498780638209755,-37.889637615660035,rls,2.026364376241274,2.066354805803594,2.173002681959259,2.2435341275053564,2.2678110243229166,0.2892806915867835,0.3002018465869657,0.3461652410328224,0.4274143772159617,0.4613396796797853,-50.74602797986806,9.20445991026499,9.315425635939665,9.60303689676536,9.897005967460696,9.994834668720207,0.28812435017092886,0.2941580763907144,0.3153568038705161,0.3426066445796067,0.3549114689474021,8.271834838795181,8.543708646419606,9.328255876378744,9.99908369534937,10.24947117687902,0.2954395312792857,0.3070942030238687,0.3567991243871979,0.44769842881307176,0.4870109184620173,32249,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.3153568038705161,9.590219851778349,rls_norm
Abudefduf vaigiensis__Abudefduf vaigiensis,9.31568124693626,9.58701787228546,10.2833138760112,10.868000951390757,11.055639556947929,3.778600549943679,3.8779912270907735,4.270427049103802,4.898391086294737,5.203433766982289,-38.47053486123618,rls,2.0221769893410744,2.0799209606158633,2.2328098416343742,2.329386598454547,2.3608344709471902,0.3398108835754709,0.35577330567947263,0.4241799309600339,0.5411361836549166,0.6022018057591988,-50.719649419465675,9.785057267929783,9.954110147349898,10.4812918193627,10.995690945781355,11.187962632099817,0.3431098937630458,0.35270860354671174,0.3880194449786548,0.4356374623397696,0.4545112619407689,8.708807286757514,9.10522268307512,10.214591343776188,11.186432890731687,11.524620099467093,0.34986062178750726,0.36733386090316655,0.4439953847281163,0.5832776097505046,0.6611569843748932,9868,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.3880194449786548,10.426124847993515,rls_norm
Abudefduf whitleyi__Abudefduf whitleyi,9.312753414182575,9.48936201582092,9.909222973830584,10.360835260333683,10.5311071873841,2.658280906501667,2.7335197945445646,3.0172844308302227,3.4234065338020163,3.627766245760707,-32.57064196256312,rls,2.090142826145116,2.115437786576971,2.1979224211517816,2.2623988254296457,2.279350518812061,0.2884759155134531,0.2973014870230432,0.3369136553025268,0.3931238327212038,0.4207444840962675,-40.72088596673443,9.366175277936035,9.526055309537991,9.93399298170399,10.388530986707716,10.54721506746396,0.2653095282306974,0.27329280484400753,0.3001031260375573,0.33994290284209816,0.35513253237898484,8.650415128438874,8.864093315761194,9.545102165291024,10.152063393915752,10.355399166830496,0.294582900085534,0.303993562404341,0.34670448441516266,0.40881336945399654,0.4400704869986519,8374,Abudefduf whitleyi,FALSE,FALSE,TRUE,normal,0.3001031260375573,9.80236446142823,rls_norm
Acanthaluteres brownii__Acanthaluteres brownii,20.88140798041725,21.09289228383771,21.676400578492274,22.262443995756655,22.48570748898744,5.209034361777281,5.310469318846071,5.725306731005036,6.292533395050731,6.516704166422565,-37.24436616676054,rls,2.900235375946711,2.9336537179329785,3.0033813307038963,3.044609418604222,3.054899424610864,0.26316831600155827,0.27125764862610785,0.3065798809963082,0.37630857636338577,0.4085766306554894,-51.63762018277172,20.89292429520484,21.09737392646865,21.682100984119856,22.265486072122123,22.49348134428051,0.2400360614875715,0.24534784237477628,0.26368054449652223,0.2886923541882757,0.2991690967462194,19.482209419408505,19.99675802514948,21.13552656940193,21.96297743956328,22.230904646060225,0.2677913489267504,0.27632482316505347,0.31392690928759975,0.3900321725999773,0.42623619503072085,3471,Acanthaluteres brownii,TRUE,FALSE,TRUE,normal,0.26368054449652223,21.54566407375396,rls_norm
Acanthaluteres spilomelanurus__Acanthaluteres spilomelanurus,6.056278239796741,6.92309052126602,7.954963710805491,8.703553194148185,8.957003171158048,3.2175646905678654,3.334091630885576,3.9468624524940696,5.186513323512138,5.995746710201374,-27.99833518644546,rls,1.953056298419572,1.9700203710110251,2.01912655225464,2.069583123410061,2.0870201815447547,0.3674373669824993,0.3751937005366564,0.407044690498384,0.44293073417364626,0.4552703465449501,-29.127340616374603,7.620852093552904,7.810459986364725,8.380001781581925,9.095219775311604,9.388831473940607,0.3681289361633,0.3788815450852675,0.42792778847116975,0.5038683179706631,0.5468096247291164,7.685790427971297,7.802385973593822,8.184690116933261,8.613595899323496,8.753426127029426,0.3801953182877879,0.38879327539563013,0.4245017412974401,0.4655697478488323,0.47991254522877264,2075,Acanthaluteres spilomelanurus,FALSE,FALSE,TRUE,normal,0.42792778847116975,8.190361445783132,rls_norm
Acanthaluteres vittiger__Acanthaluteres vittiger,0.9095942826222556,1.6914277938921856,5.803941078027123,9.442756426974327,10.31012807979432,10.220622948295178,10.664585491126807,12.436805977552993,14.531275454827036,15.11311014464564,-80.9912456585573,rls,2.1985046032486597,2.2182710879155363,2.2903952743535223,2.366662424466424,2.393311375266194,0.5296919075637747,0.5402133350374853,0.579437691675671,0.6285898455674606,0.6460640737749886,-81.90138635844659,11.797146743468462,12.052565053913735,13.059479261573989,14.382132536401432,14.863085444698626,0.5804159689061591,0.5948692145649557,0.6411498799209021,0.6779699841333611,0.6840269701533632,10.729239471881169,10.93579329866494,11.689195406501357,12.628684732424745,12.956834058232888,0.5691123504142047,0.5821305613106027,0.6316537738339738,0.69611065167333,0.7197275566011001,45706,Acanthaluteres vittiger,TRUE,FALSE,TRUE,normal,0.6411498799209021,12.01806108607185,rls_norm
Acanthistius ocellatus__Acanthistius ocellatus,25.36177617327055,25.655196541203097,26.592178535168248,27.66375018107459,28.043540659302273,7.47378075165197,7.634306341000395,8.287880172225865,9.3183679939906,9.74270157746224,-31.65995468918041,rls,3.1327702305571767,3.1529623466012033,3.2025938213112974,3.2443872676670433,3.256209274173945,0.3122751601455466,0.32001943827549517,0.34952745082167114,0.39510319592767507,0.4165571116533541,-39.730852864563104,25.427675399852532,25.714050299830625,26.62790946005533,27.710854132371917,28.093667412338004,0.28023275080628585,0.28546783484810256,0.30932818725907657,0.34337690062389353,0.3566449937697386,24.648462522018846,25.007753618627778,26.163797309227483,27.283113530132017,27.70093435287605,0.3200450483541396,0.3283904632243323,0.36047960051077144,0.4110361676755488,0.43529791035669024,712,Acanthistius ocellatus,FALSE,FALSE,TRUE,normal,0.30932818725907657,26.246488764044944,rls_norm
Acanthochromis polyacanthus__Acanthochromis polyacanthus,3.0982458900219587,4.007620848013666,5.369509765353822,5.991016353313631,6.142441700473989,3.361515901852478,3.450542682189491,3.856306780537204,4.762513960252704,5.291627564242933,-46.41258337611178,rls,1.5633207524951007,1.6192764043269974,1.7433214618225967,1.8634571579986936,1.899370781400873,0.3966432261248244,0.41069363304366346,0.47305303029418655,0.562402280618677,0.6045489191430128,-55.988873127296685,5.9616320354134835,6.065423816866897,6.388243251322775,6.751214640755806,6.881150873278675,0.44580109009540425,0.45383665495049935,0.48697040705626166,0.5427682672021384,0.5678489833187019,5.596912818253615,5.8035089543132194,6.413865750856964,7.153555083961898,7.440994174744811,0.4127673894058333,0.4286357055703914,0.5007941445921712,0.6099481664022103,0.6642325291277735,164625,Acanthochromis polyacanthus,FALSE,FALSE,TRUE,normal,0.48697040705626166,6.391678056188304,rls_norm
Acanthopagrus australis__Acanthopagrus australis,17.773701733543025,18.366192891018137,19.893934155279208,21.643659334692614,22.215040828426197,6.490456373049756,6.769794714121261,7.927392574153883,10.176375195964328,11.183661994326709,-74.015983781459,rls,2.808092514797016,2.8186560417378903,2.8497749794988,2.8783465588802652,2.888464878047849,0.31329483365758404,0.3177721705522674,0.33766742168565467,0.3633448476368319,0.37387681154963526,-67.80198418104195,18.42003791391367,18.756421233463055,20.173854010166373,21.937844747582105,22.671115846445936,0.32384437586749054,0.33438153035865903,0.3795429514029017,0.4507992238472861,0.4856533086219992,17.590963579512753,17.7654359863958,18.299617681277542,18.860630886065607,19.057646726834975,0.32114213590897767,0.32596560979148337,0.3475251671281589,0.3756734571857679,0.3873308886585173,27162,Acanthopagrus australis,TRUE,FALSE,FALSE,lognormal,0.3475251671281589,18.09099109049407,rls_lnorm
