species,size_class,size_min,size_max,std_mk,name,value
Pomacentrus moluccensis,2.5,1.25,3.75,0.86,lbspr,0.690510831299192
Pomacentrus moluccensis,2.5,1.25,3.75,0.86,rls_obs,0.36212862344014896
Pomacentrus moluccensis,2.5,1.25,3.75,0.86,p_norm,0.23354583266385257
Pomacentrus moluccensis,2.5,1.25,3.75,0.86,p_lnorm,0.26394299049711606
Pomacentrus moluccensis,2.5,1.25,3.75,0.86,lbspr_mk15,0.8525080238422742
Pomacentrus moluccensis,5,3.75,6.25,0.86,lbspr,0.30948916870080806
Pomacentrus moluccensis,5,3.75,6.25,0.86,rls_obs,0.48174731108084823
Pomacentrus moluccensis,5,3.75,6.25,0.86,p_norm,0.5475767194167409
Pomacentrus moluccensis,5,3.75,6.25,0.86,p_lnorm,0.555489295227467
Pomacentrus moluccensis,5,3.75,6.25,0.86,lbspr_mk15,0.14749197615772583
Pomacentrus moluccensis,7.5,6.25,8.75,0.86,lbspr,0
Pomacentrus moluccensis,7.5,6.25,8.75,0.86,rls_obs,0.1388128456685473
Pomacentrus moluccensis,7.5,6.25,8.75,0.86,p_norm,0.19469175257270857
Pomacentrus moluccensis,7.5,6.25,8.75,0.86,p_lnorm,0.1537669130917383
Pomacentrus moluccensis,7.5,6.25,8.75,0.86,lbspr_mk15,0
Pomacentrus moluccensis,10,8.75,11.25,0.86,lbspr,0
Pomacentrus moluccensis,10,8.75,11.25,0.86,rls_obs,0.01631763986548456
Pomacentrus moluccensis,10,8.75,11.25,0.86,p_norm,0.00978312672123216
Pomacentrus moluccensis,10,8.75,11.25,0.86,p_lnorm,0.02319501873850205
Pomacentrus moluccensis,10,8.75,11.25,0.86,lbspr_mk15,0
Pomacentrus moluccensis,12.5,11.25,13.75,0.86,lbspr,0
Pomacentrus moluccensis,12.5,11.25,13.75,0.86,rls_obs,9.935799449709568e-4
Pomacentrus moluccensis,12.5,11.25,13.75,0.86,p_norm,6.175159163157584e-5
Pomacentrus moluccensis,12.5,11.25,13.75,0.86,p_lnorm,0.00307893901091382
Pomacentrus moluccensis,12.5,11.25,13.75,0.86,lbspr_mk15,0
Notolabrus tetricus,2.5,1.25,3.75,3.030344711,lbspr,0.16841134397277066
Notolabrus tetricus,2.5,1.25,3.75,3.030344711,rls_obs,0.00189642992990273
Notolabrus tetricus,2.5,1.25,3.75,3.030344711,p_norm,0.0039619100405627
Notolabrus tetricus,2.5,1.25,3.75,3.030344711,p_lnorm,3.044783357895932e-8
Notolabrus tetricus,2.5,1.25,3.75,3.030344711,lbspr_mk15,0.08735370834427876
Notolabrus tetricus,5,3.75,6.25,3.030344711,lbspr,0.14807383341068944
Notolabrus tetricus,5,3.75,6.25,3.030344711,rls_obs,0.01337281964897027
Notolabrus tetricus,5,3.75,6.25,3.030344711,p_norm,0.00847687718590696
Notolabrus tetricus,5,3.75,6.25,3.030344711,p_lnorm,5.401295783727024e-5
Notolabrus tetricus,5,3.75,6.25,3.030344711,lbspr_mk15,0.08462216777065523
Notolabrus tetricus,7.5,6.25,8.75,3.030344711,lbspr,0.12907755840384638
Notolabrus tetricus,7.5,6.25,8.75,3.030344711,rls_obs,0.04197685160028256
Notolabrus tetricus,7.5,6.25,8.75,3.030344711,p_norm,0.01649233465901897
Notolabrus tetricus,7.5,6.25,8.75,3.030344711,p_lnorm,0.00210209340598097
Notolabrus tetricus,7.5,6.25,8.75,3.030344711,lbspr_mk15,0.08179797717757521
Notolabrus tetricus,10,8.75,11.25,3.030344711,lbspr,0.2065193330715127
Notolabrus tetricus,10,8.75,11.25,3.030344711,rls_obs,0.07688963755909363
Notolabrus tetricus,10,8.75,11.25,3.030344711,p_norm,0.02917731973334549
Notolabrus tetricus,10,8.75,11.25,3.030344711,p_lnorm,0.01595054623451525
Notolabrus tetricus,10,8.75,11.25,3.030344711,lbspr_mk15,0.15470046248709715
Notolabrus tetricus,12.5,11.25,13.75,3.030344711,lbspr,0.08010996465421828
