species,size_class,p_lbspr,size_min,size_max,p_lbspr_mk15,p_obs,std_linf,std_k,std_mk,hoenig_m,largest_fish_in_sample_mm,mean_size
Pomacentrus moluccensis,2.5,0.690510831299192,1.25,3.75,0.8525080238422742,0.36212862344014896,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,5,0.30948916870080806,3.75,6.25,0.14749197615772583,0.48174731108084823,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,7.5,0,6.25,8.75,0,0.1388128456685473,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,10,0,8.75,11.25,0,0.01631763986548456,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,12.5,0,11.25,13.75,0,9.935799449709568e-4,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,15,0,13.75,17.5,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,20,0,17.5,22.5,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,25,0,22.5,27.5,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,30,0,27.5,32.5,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,35,0,32.5,37.5,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,40,0,37.5,45,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,50,0,45,56.25,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,62.5,0,56.25,68.75,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,75,0,68.75,81.25,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,87.5,0,81.25,93.75,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,100,0,93.75,106.25,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,112.5,0,106.25,118.75,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,125,0,118.75,131.25,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,137.5,0,131.25,143.75,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,150,0,143.75,156.25,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,162.5,0,156.25,168.75,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,175,0,168.75,181.25,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,187.5,0,181.25,193.75,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,200,0,193.75,225,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
