population,mu_05,mu_10,mu_50,mu_90,mu_95,sigma_05,sigma_10,sigma_50,sigma_90,sigma_95,logl_50_norm,dat,meanlog_05,meanlog_10,meanlog_50,meanlog_90,meanlog_95,sdlog_05,sdlog_10,sdlog_50,sdlog_90,sdlog_95,logl_50_lnorm,mean_05_norm,mean_10_norm,mean_50_norm,mean_90_norm,mean_95_norm,cv_05_norm,cv_10_norm,cv_50_norm,cv_90_norm,cv_95_norm,mean_05_lnorm,mean_10_lnorm,mean_50_lnorm,mean_90_lnorm,mean_95_lnorm,cv_05_lnorm,cv_10_lnorm,cv_50_lnorm,cv_90_lnorm,cv_95_lnorm,population_n,species,fished,bimodal,normal_better,better_dist,cov_pref,pop_mean_size
Abudefduf bengalensis__-11_133,10.518286871009506,10.61034056393713,10.870792379746543,11.16851078705212,11.296341094772131,1.3097455993771436,1.3618279385004597,1.5508943781332143,1.8077433195178123,1.920417134368353,-5.422711598761211,rls,2.3417875422084857,2.3503831903099637,2.374390482442152,2.3992619849553383,2.408027825881315,0.1228490057812764,0.12703310782070762,0.14400641182088986,0.1667553329336066,0.17582388339775132,-9.464608686116932,10.518286879320817,10.610341735330293,10.870792381594311,11.16851078749808,11.2963410947851,0.1203844781365846,0.12552370959649278,0.14255251212536685,0.1655647966692425,0.1753838991323413,10.51274347551019,10.602823644939468,10.858611265005424,11.13422506161896,11.239286623344666,0.12331397197739756,0.1275473313456417,0.14475624318016345,0.1679213324337411,0.17719153228777643,324,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.14255251212536685,10.848765432098766
Abudefduf bengalensis__-12_137,2.6629704960712957,4.432415645823801,10.515898062335062,12.84590356572258,13.307779357535452,3.6911540991233407,3.988679412697524,5.645334815542837,9.63508234011314,10.759621276533949,-24.29169494352456,rls,1.2918971283078915,1.613782045802418,2.1524871043392677,2.422604969708236,2.4932250948356245,0.41144687826225057,0.4481395206578329,0.6608038339718969,1.1631185544266134,1.4958691195791398,-32.396768434920205,8.860223438535261,9.467404168306718,11.423174977715313,13.139591145431702,13.610635187077758,0.29228784197243823,0.31892417186459265,0.45335797961824265,0.6244567486303422,0.6454079739191213,7.258767147170229,8.059753096396594,10.973945563368352,14.937903211735744,17.43386304499887,0.42949021876193,0.47160975129132665,0.7399544746409326,1.6936394906214842,2.8932777042520974,396,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.45335797961824265,12.97979797979798
Abudefduf bengalensis__-13_137,11.27291134932011,11.950558948562952,13.226809486088955,14.305779711882716,14.646366565652126,2.673271359142195,2.841515130522006,3.4537745999379452,4.549675208324208,5.375719079139246,-12.60700575953762,rls,2.3898202372912767,2.421037652887409,2.5143831015449942,2.6068837749232436,2.638145429198188,0.21297499685423327,0.2274571876765308,0.2786556475761762,0.35162149764069706,0.37673545648151113,-17.951072846676215,11.7043994282375,12.110785705079552,13.260696214956033,14.340977173462525,14.688029722501977,0.19876037188712753,0.21087009207345717,0.25997962443662553,0.3438886124476005,0.3993838323788769,11.40921035165158,11.755130680381178,12.868065227504598,14.147190608283752,14.56524299256813,0.21541302285770175,0.23043112041759117,0.2841535125797119,0.36277513450319815,0.3905067414605888,204,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.25997962443662553,12.879901960784316
Abudefduf bengalensis__-16_139,10.344767591619584,10.43198873145479,10.7107872338959,11.022578428280983,11.15021590052265,1.4568487154178484,1.5123392250699892,1.7013071555857295,1.9464012773734511,2.051137248150487,-6.014835473134454,rls,2.3162511147740057,2.326781260093706,2.3554686160472045,2.38489420742095,2.3963924553006364,0.13688639200845015,0.14254639750131096,0.16158030720649802,0.18464246342765067,0.1949818285794348,-10.534612563424393,10.344767612065532,10.432421158998558,10.710788085360534,11.022608771756875,11.150215921213238,0.1352711927081424,0.14037529584568711,0.15903146084904018,0.18208517758147844,0.19184793958860777,10.277006662649244,10.39168159064627,10.679714710758129,11.008092579831551,11.136431979949997,0.1375301426316732,0.14327358922452332,0.1626407087287408,0.18622744507250383,0.19684979159362676,374,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.15903146084904018,10.661764705882351
Abudefduf bengalensis__-20_119,14.371382813148047,15.316354823848728,17.454964555812126,19.298161425198582,19.856074438266266,3.3363423656256983,3.5856249867327517,4.634696087145544,6.597715233825764,7.710167980345075,-15.919586947361546,rls,2.605750311458195,2.648859144573847,2.785424654117121,2.9080515677468246,2.9447505294013867,0.20726954056813848,0.2230727883881007,0.29513832693162045,0.4002599993493663,0.4400450545372479,-21.91340098416325,14.85573478590977,15.490224924044265,17.504792121869922,19.356847277236817,19.91200546107219,0.18619003511431576,0.20042520473429987,0.2662011055992042,0.3789175830115957,0.427246903985965,14.274526594705346,14.85129438742674,16.977473176240125,19.177243758247865,20.243050948114305,0.209515702770972,0.22587688117766783,0.30168362897015544,0.41683937604869814,0.4622324767075834,252,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.2662011055992042,16.17063492063492
Abudefduf bengalensis__-20_149,10.690909806035508,11.072708468291426,11.85532867751365,12.375195640513544,12.540566281871625,2.02853758778896,2.110395115357119,2.4970532432972012,3.0966320938867393,3.383649107239608,-11.084808393270023,rls,2.180596525763462,2.24690587182355,2.3953342443975405,2.4807197190468115,2.5023753543871323,0.18724017797657325,0.1991368803896192,0.26844155160903005,0.39773056597410217,0.45560980938522766,-19.88256340505003,10.703912789271822,11.076809134705195,11.856393219494652,12.376090735451434,12.542648953662274,0.16824459926735214,0.1758785083807276,0.21202531712410916,0.27046695912046276,0.2975769963747233,9.56732576243193,10.094008086486037,11.423542892313002,12.3909927818175,12.689699905293493,0.18889333573105743,0.20112750595312595,0.2733509773141961,0.4139906672250789,0.4803087974751504,225,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.21202531712410916,11.911111111111111
Abudefduf bengalensis__-21_116,9.020387878742834,9.481068872890964,10.676064251138923,11.809020512151855,12.193677620304408,2.761888178572387,2.914783096193621,3.5866957575224756,4.8971831765512475,5.819875514376452,-21.647472730423463,rls,2.1267566893423444,2.1648649189280884,2.2827177206199276,2.3896617402079796,2.422662857760982,0.2712215452773536,0.28804579015083137,0.3555271093547797,0.4389416054551319,0.4727187713217297,-26.043706560976663,9.440989210900998,9.77750324839957,10.789282689412644,11.898657290860545,12.302811916718236,0.25017604205790733,0.2672366633299061,0.326683702340197,0.4244370484210228,0.4760383553018009,9.084309776730702,9.410616199375015,10.46875632085182,11.603194731364743,12.023063042236146,0.2762866786215194,0.29412518216141587,0.3670632554161479,0.4609580073058039,0.5003992611987782,562,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.326683702340197,10.195729537366548
Abudefduf bengalensis__-21_117,10.57461212575132,10.826460033925269,11.467677477415885,12.003986933780093,12.195704506703686,2.6966915577822355,2.7821466662830914,3.1704705405997236,3.784573784513331,4.0619375640221485,-25.33851963106592,rls,2.111823309946564,2.160545013919784,2.2894343152068437,2.384908825269794,2.411704921931663,0.30107540432983415,0.3176240188839642,0.3842769721050275,0.492543946515431,0.5416801352136287,-35.768937488226925,10.609810312585912,10.852963393549828,11.481460833062885,12.015216742554806,12.20705245747872,0.2317879184874439,0.24004214560041176,0.27525979815179036,0.3297344777368184,0.35265569688042026,9.10145693162094,9.51470168645441,10.65700725512222,11.73380299301139,12.064765551758182,0.30802887143010604,0.3258058421726885,0.3989096632226374,0.5239829304667953,0.5839540861199516,2014,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.27525979815179036,11.422542204568025
Abudefduf bengalensis__-22_114,8.501229261676393,9.472621612840875,10.811460861231414,11.75546946842815,12.006415068363252,3.304141315036127,3.453070882479271,4.192625148682071,5.500573681580332,6.094857268786369,-28.313489942606537,rls,1.9561692889739648,2.05015775932573,2.277849769021868,2.3938558492382325,2.424783232216917,0.31199743878680153,0.32918137302160827,0.4233060163778747,0.6256024534349629,0.7260584620587139,-38.24108177452341,9.63303292508261,9.986596557417432,10.97141810016875,11.849554675139528,12.119939533268628,0.2921175681499651,0.3060744106161271,0.3700570670323456,0.4621045503059957,0.5050589489186912,8.46913500479404,9.108799693798789,10.701089375542484,11.993587947788338,12.481670393087326,0.31974633328741475,0.33830355339351176,0.4429961605101447,0.6921113827151966,0.8331360604914451,1341,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.3700570670323456,11.135346756152126
Abudefduf bengalensis__-23_114,11.63751429990704,11.884175844561268,12.553577798684572,13.294673329709846,13.529400296726063,2.2323289517840643,2.348171898268329,2.760469333649212,3.3437222666666733,3.613101785593875,-10.43306401241971,rls,2.3904994513179423,2.4138912845446474,2.4910128731971257,2.561472352387975,2.5798899373902717,0.17968420650652622,0.1914800421814723,0.23838125085665415,0.29609426162913255,0.31783130418614036,-16.519379589060918,11.665718203652457,11.893442183540664,12.554459788288003,13.302287224902347,13.53610889445446,0.17427742375891972,0.18395982862407076,0.21968284662575951,0.27004964129415054,0.2889318821224824,11.320949623042557,11.556302100137597,12.424027587861488,13.293856192341718,13.619842181828524,0.18114434907908847,0.19324865784219009,0.24180822760728032,0.30270415126619876,0.32602938319670904,224,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.21968284662575951,12.220982142857142
