population,binned,cont,mean_size,data,species
Acanthemblemaria aspera__Belize,0.13156471732854277,0.15882066083409602,2.111842105263158,cbf,Acanthemblemaria aspera
Acanthemblemaria spinosa__Belize,0.14906146006093202,0.12855225399873077,2.073529411764706,cbf,Acanthemblemaria spinosa
Acyrtus lanthanum__Belize,0.22705897437298378,0.2153391987459396,1.8333333333333333,cbf,Acyrtus lanthanum
Apogon binotatus__Panama,0.19378156358606022,0.1547549267260142,5.004545454545455,cbf,Apogon binotatus
Apogon coccineus__GoO,0.5401038844419009,0.48476679382792526,3.7399999999999998,cbf,Apogon coccineus
Apogon phenax__Panama,0.2692466996649812,0.25910484215891927,5.15,cbf,Apogon phenax
Apogon susanae__Moorea,0.23994220755624376,0.21510300000640242,3.2714285714285714,cbf,Apogon susanae
Cabillus tongarevae__Moorea,0.3626037564245024,0.39995921076009766,1.94,cbf,Cabillus tongarevae
Canthigaster rostrata__Belize,0.2162612846824723,0.22904661345759325,4.158333333333333,cbf,Canthigaster rostrata
Caracanthus maculatus__Moorea,0.2997563312392407,0.2511091004453095,3.14,cbf,Caracanthus maculatus
Centropyge bispinosa__Moorea,0.4399257021106489,0.40184251831123435,5.717391304347826,cbf,Centropyge bispinosa
Chromis acares__Moorea,0.27411558481300236,0.2678376479586836,3.356521739130435,cbf,Chromis acares
Chromis atripectoralis__Moorea,0.17978740694177214,0.17653196008414468,3.5538461538461537,cbf,Chromis atripectoralis
Chromis flavaxilla__GoO,0.1253699906220569,0.11538516810583972,4.684210526315789,cbf,Chromis flavaxilla
Chromis iomelas__Moorea,0.3075186632620704,0.307193517956439,4.7,cbf,Chromis iomelas
Chromis vanderbilti__Moorea,0.1798840935922728,0.18660925294293812,4.013333333333334,cbf,Chromis vanderbilti
Cirripectes variolosus__Moorea,0.3065644124002814,0.28924492857770256,4.865384615384615,cbf,Cirripectes variolosus
Coryogalops anomalus__AG,0.27788279120867165,0.25514897066615727,2.626153846153846,cbf,Coryogalops anomalus
Coryogalops anomalus__GoO,0.20155895573351582,0.16354735557430486,2.5242424242424244,cbf,Coryogalops anomalus
Coryphopterus eidolon__Belize,0.3808834398890958,0.4053665821692167,2.5500000000000003,cbf,Coryphopterus eidolon
Coryphopterus eidolon__Panama,0.33731061564371545,0.3310291036167322,2.983673469387755,cbf,Coryphopterus eidolon
Coryphopterus glaucofraenum__Panama,0.3144943175282011,0.2758261538593664,3.0722222222222224,cbf,Coryphopterus glaucofraenum
Coryphopterus personatus__Belize,0.2859303505493027,0.24275585975206349,2.111304347826087,cbf,Coryphopterus personatus
