population,mu_05,mu_10,mu_50,mu_90,mu_95,sigma_05,sigma_10,sigma_50,sigma_90,sigma_95,logl_50_norm,dat,meanlog_05,meanlog_10,meanlog_50,meanlog_90,meanlog_95,sdlog_05,sdlog_10,sdlog_50,sdlog_90,sdlog_95,logl_50_lnorm,mean_05_norm,mean_10_norm,mean_50_norm,mean_90_norm,mean_95_norm,cv_05_norm,cv_10_norm,cv_50_norm,cv_90_norm,cv_95_norm,mean_05_lnorm,mean_10_lnorm,mean_50_lnorm,mean_90_lnorm,mean_95_lnorm,cv_05_lnorm,cv_10_lnorm,cv_50_lnorm,cv_90_lnorm,cv_95_lnorm,population_n,species,fished,bimodal,normal_better,better_dist,cov_pref,mean_size,data,col
Abudefduf bengalensis__Arnhem Coast to Gulf of Carpenteria,11.077803991108215,11.310665628628408,11.861162176772773,12.35504317465313,12.52056508468042,2.5914251023451875,2.6723663985789843,3.012867300865568,3.6909654602413156,3.9472969456649056,-25.758434044057417,rls,2.1637180652937738,2.237300536422162,2.385270662121138,2.4554205982000794,2.471241700043462,0.24825487286788095,0.259219512940603,0.32595127643907806,0.4897847172157744,0.5781000243531866,-37.50608891260998,11.106028095701696,11.329273220607172,11.866931165834854,12.363220165236209,12.528635165881,0.21843951309413498,0.22481221848542898,0.25358704446601943,0.307348482539357,0.33489536965714917,9.842025272556455,10.273468089762098,11.47596849927672,12.330306320107109,12.688665539270694,0.25212945892400584,0.2636356389375677,0.33480360680582333,0.5206804567743237,0.6299381298652189,1774,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.25358704446601943,11.746054114994363,rls,rls_norm
Abudefduf bengalensis__Bonaparte Coast,11.026049478800507,11.153172042856113,11.547398099936977,11.9543240608905,12.084240769235228,2.2222724688810436,2.2912317513898826,2.573080180946394,2.9606222771882966,3.1292549946107138,-13.615411453400728,rls,2.3151545070225032,2.3425788755369927,2.411858698692119,2.4606744661538027,2.47521763005794,0.1970269081384451,0.20531998850413694,0.24536154761487222,0.31245051263312157,0.34172927935610714,-21.89703304244001,11.030122590706299,11.155111268548115,11.548454375931891,11.955751955583553,12.086022522756673,0.19128905123733372,0.19827778066003313,0.222544582367471,0.2567018053831995,0.2721337005416378,10.55045523510888,10.829300335617383,11.501129219951167,12.081716819050808,12.28263543332489,0.19895458930104104,0.2075029963255973,0.249101116677234,0.32023367654389834,0.35195300099646776,494,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.222544582367471,11.477732793522268,rls,rls_norm
Abudefduf bengalensis__C and S GBR,11.231705625513856,11.382134209781357,11.75451962951675,12.132929907730539,12.263581404971069,2.5149799674315743,2.5928825315894746,2.8592893348821597,3.1773765104623006,3.3153338984949805,-15.545773000379203,rls,2.3167343103920004,2.3415213639849126,2.416135472178466,2.470312631371957,2.4864131257221054,0.2165219483436245,0.22525566380609086,0.2645074077057713,0.32927461897297494,0.3569849302163986,-24.937768152473808,11.2411806819295,11.384462936013371,11.757084690565485,12.134528693198169,12.264578382846217,0.2121810289357744,0.21994598634920307,0.24332434596408603,0.2719815285911186,0.2823566238493694,10.636655300508826,10.86327629869167,11.621886156449122,12.238303504723714,12.427061236888486,0.21908464198364508,0.2281434744042491,0.2692020666517856,0.3384046735390126,0.36866612600516524,842,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.24332434596408603,11.66270783847981,rls,rls_norm
Abudefduf bengalensis__Exmouth to Broome,9.787594388127452,10.380889373794073,11.48966698709291,12.293915465610326,12.581614943453435,3.4713221780311434,3.6319595031659344,4.341425575316578,5.658087216970545,6.375394823610751,-40.024112797346326,rls,2.1585922395322905,2.215457058858891,2.349862106245486,2.4420650410953897,2.4643152580167307,0.3202655081041753,0.3337599012837055,0.40537053701932135,0.521536004156476,0.5736467195744595,-48.817236789648334,10.537519841195717,10.823526575050334,11.61758051377715,12.408252438383672,12.699556863263636,0.294449112454181,0.30661992846581954,0.36081609112759117,0.4475388541950575,0.4870807390964741,9.83643204128111,10.272963738124494,11.405806639138067,12.456915325253423,12.863316882502051,0.32865613564930435,0.3432741119018307,0.42260811394708936,0.5590945748865512,0.6242402753873423,5064,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.36081609112759117,11.616804897314376,rls,rls_norm
Abudefduf bengalensis__Houtman,12.122415028738068,12.268222110744315,12.74096817422295,13.20755927796586,13.346519343450538,3.293737810837919,3.3766495084240153,3.7214268954119185,4.219358398913633,4.431679418360888,-14.826149195465842,rls,2.3224899857844945,2.366154442106763,2.472165129261743,2.538236827106182,2.555708492359723,0.288986554977988,0.30001080108006944,0.35493002508220167,0.46015002448424486,0.5067626974437447,-27.615144395699545,12.169707029936522,12.300288803396896,12.76210198217466,13.227968674580183,13.361127669526017,0.25570818952330926,0.2626642672668199,0.2903545193528142,0.3274089344822604,0.3425048225574916,11.210536381420662,11.633304548918309,12.632195562863517,13.524348801352733,13.831019823948672,0.2951264074863877,0.30688984158646904,0.3664071200353253,0.4856172489146968,0.541107608427451,280,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.2903545193528142,12.633928571428571,rls,rls_norm
Abudefduf bengalensis__Ningaloo,11.617302775933712,11.843469088816775,12.523599589398852,13.265415509166491,13.534677259950765,2.234398170978459,2.341800846959227,2.751553960036339,3.3601677239485483,3.6472285345329287,-10.531488934099164,rls,2.3763099885776846,2.4067055870418383,2.487246672114583,2.5602140893103673,2.580980624413943,0.18286887101458238,0.19512876620073932,0.241658031844956,0.3120409981039215,0.3405957045153745,-16.703796412182587,11.623450468080392,11.849732815792352,12.525000199008442,13.265855948786944,13.5402590794903,0.17482276583042916,0.18422417213463166,0.2200537594571167,0.2708151100716933,0.29560293627198553,11.19388087211911,11.486901110966132,12.398801943540446,13.326620308396718,13.653924576646393,0.18440840641844836,0.19700097760528407,0.2452294580937471,0.31979318247875615,0.350716373601267,226,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.2200537594571167,12.201327433628318,rls,rls_norm
Abudefduf bengalensis__Shark Bay,9.7320082637529,9.896666078924266,10.44747040451955,11.086722752049415,11.314026728881268,2.695830070873406,2.779334259225874,3.1325360995963774,3.588453156757879,3.7930226859226646,-15.33705070363863,rls,2.1885738451278933,2.2096765036295665,2.2774046767765137,2.3439318911789457,2.368066071296261,0.2604765296033167,0.27279920323088636,0.3152948203108013,0.36781329435003474,0.3867795068386146,-20.364085798301932,9.77479537667415,9.942285751116872,10.467033408183859,11.102588104747124,11.335977895684776,0.2520025929114998,0.26214178294569496,0.2966256689131935,0.33850870640518477,0.35455827280771623,9.44263612974725,9.64594013765581,10.259045518646706,10.966043337113598,11.224121049061713,0.26495782565207454,0.2779541665183607,0.3232954830529482,0.3806111901936448,0.4017060229071156,430,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.2966256689131935,10.220930232558139,rls,rls_norm
Abudefduf bengalensis__Torres Strait N GBR,12.22378008985677,12.327484355712215,12.685012704182016,13.057490391920766,13.173945496589207,2.0407744886254795,2.1103598593992516,2.3452903400905676,2.6358837701363713,2.7482585307765426,-7.8411768064248095,rls,2.4614174381594416,2.476296646738455,2.516568404355759,2.5542634848620898,2.565457949491671,0.16239838933756529,0.16848759612598768,0.19284316491260722,0.23017153317104608,0.24455484221925786,-14.813965493244218,12.223886546996711,12.328055956028305,12.685013634454547,13.057512360516286,13.173959250888139,0.16028797149270002,0.1662718548846835,0.18472530745038424,0.20789416021254922,0.2178764019348942,11.996544112262793,12.155325360165047,12.62125243425069,13.09092191724915,13.252163030770268,0.16347503863365573,0.16969045775867705,0.1946500196314634,0.23325401059344253,0.24825734050188902,356,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.18472530745038424,12.570224719101123,rls,rls_norm
Abudefduf bengalensis__Tweed-Moreton,10.318191067686508,10.490344026815725,10.858566397312234,11.171211308180347,11.265051746240214,2.0482453613844593,2.0992308006543388,2.3362468112576464,2.7270539070142714,2.931768805088205,-15.30949177468485,rls,1.9411281612691929,2.0359590344343177,2.238834392324554,2.354567666680394,2.380460687192889,0.252778034594962,0.26988317811435325,0.3731366566585913,0.5845184302652636,0.690275391541232,-28.48346806448741,10.324646123270998,10.493956235562178,10.860017658533582,11.172494984442475,11.268519378823296,0.1881581712922574,0.19290759037276178,0.21549568373942685,0.2517238204913725,0.2713013836605491,8.13496698071393,8.689252892008614,10.127793126353836,11.364378660386233,12.162157809117796,0.25687022827361705,0.27487293772725524,0.3865094361999947,0.6381882711327244,0.7812784861346137,646,Abudefduf bengalensis,FALSE,FALSE,TRUE,normal,0.21549568373942685,10.9171826625387,rls,rls_norm
Abudefduf sexfasciatus__Arnhem Coast to Gulf of Carpenteria,6.703844802208285,7.584760603075651,9.01497175518164,10.209462075190645,10.527952873838927,1.714703419201121,1.8350861114826604,2.4678606490510973,3.8129690222649777,5.135119532230455,-14.660512282509483,rls,1.9110908020457515,1.9692563187504717,2.1289834911588006,2.2672466146152095,2.311345098744864,0.19419585375420628,0.21352773976140152,0.2882916259205338,0.4369677681269067,0.5301107316877797,-19.461377512157206,7.504375005960783,7.87394041157067,9.091959079085093,10.295130553955948,10.645975368438812,0.18336800977116124,0.19909456706072973,0.27016213141616546,0.4115087465149055,0.4948071050690238,7.28731685745644,7.607565618969309,8.80713573590754,10.196261739183129,10.85121691103804,0.1960412000400514,0.21598491879219872,0.29438677799179885,0.45868053974057266,0.5696285225606491,435,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.27016213141616546,10.235632183908047,rls,rls_norm
