species,mean_size,std_linf
Pomacentrus moluccensis,4.530750604485698,4.74
Notolabrus tetricus,20.074851926316367,36.12
Coris auricularis,11.575413690207078,37.8
Thalassoma lunare,9.641654016511051,12.9
Ctenochaetus striatus,13.692742794973135,17.2
Pomacentrus wardi,5.550888142102737,7.2
Acanthurus nigrofuscus,10.11582513308598,15.8
Notolabrus fucicola,21.820465545056464,39.9
Notolabrus gymnogenis,16.69544610438205,35.88
Notolabrus parilus,14.590758746542729,33.5
Pictilabrus laticlavius,16.894449307295282,22.04
Trachurus declivis,21.114730784495304,46.3
Halichoeres melanurus,6.07048862416456,13.8
Girella zebra,25.08555763677515,36.4
Zebrasoma scopas,11.401846559683447,13.3
Scarus rivulatus,16.882828940775628,26.8
Scarus schlegeli,17.230844964382925,24.8
Apogon doederleini,3.4025810513062638,8.754999999999999
Hyperlophus vittatus,5.385739017528674,7.81
Scomber australasicus,16.31542540926908,41.05
Lutjanus gibbus,22.21329834890567,32.9
Kyphosus bigibbus,33.81582796957285,48.4
Gerres subfasciatus,13.422483468038207,13.959999999999999
Acanthurus lineatus,21.39795378373611,19
Chaetodon lunulatus,9.139002307828866,10.51
Hyporhamphus australis,19.60213667342052,28.339999999999996
Hemigymnus melapterus,14.837133550488598,18.5
Scarus niger,18.624375624375624,25.366999999999997
Chlorurus microrhinos,29.685083435083435,47.3
Scarus frenatus,20.7390625,25.9
Lutjanus quinquelineatus,21.655594405594407,20.69
Chaetodon citrinellus,8.694776326757433,9.059999999999999
Hipposcarus longiceps,26.285471055618615,36.6
Amblygobius phalaena,5.987627986348123,11.440000000000001
Naso unicornis,29.432496075353217,51.2
Naso lituratus,22.73122335191866,20.4
Acanthurus olivaceus,19.150927766732934,21
Scarus altipinnis,28.701512800620637,33.9
Naso brevirostris,29.26643668831169,30.4
Centropyge bicolor,7.88585554600172,9.95
Cheilinus fasciatus,18.904939422180803,17.996000000000002
Chaetodon melannotus,12.063884959924565,10.85
Epibulus insidiator,18.212448559670783,19
Sphyraena flavicauda,22,41.21
Diagramma pictum,36.89133425034388,60.6
Bodianus axillaris,12.986062717770034,11.3
Choerodon fasciatus,17.70444763271162,14.3
Cephalopholis urodeta,16.985759493670887,14.5
Naso hexacanthus,40.842213114754095,52.7
Bodianus frenchii,23.14741907261592,37.55
Siganus argenteus,23.667900092506937,27.4
Pempheris schwenkii,10.05378858746492,11.120000000000001
Parupeneus barberinus,17.433899905571295,32.7
Lutjanus vitta,21.72712933753943,24.52
Hyporhamphus melanochir,20.77540106951872,28.910000000000004
Scarus psittacus,19.851672060409925,17.2
Decapterus macarellus,16.316989737742304,42.3
Cephalopholis boenak,12.982326951399116,14.766
Bodianus mesothorax,13.385668276972625,11
Scarus forsteni,20.593434343434343,28.1
Scarus rubroviolaceus,30.080645161290324,40.5
Upeneus tragula,12.359271523178808,18.7
Meuschenia scaber,16.723826714801444,27.910000000000004
Cheilinus undulatus,63.54089219330855,75.5
Symphorus nematophorus,45.511583011583014,73.2
Cetoscarus bicolor,24.579741379310345,40.2
