population,size_class,n,n_sizebins,population_n,size_min,size_max,n_transects,p_obs,species,fished,lat,lon,pop_label,is_bimodal,pop_id,data,"str_replace_all(pop_label, ""cflatifasciata"", ""latifasciata"")"
Trachinops taeniatus__-39_147,5,438,4,2188,3.75,6.25,5,0.2001828153564899,Trachinops taeniatus,FALSE,-39,147,"Trachinops taeniatus (-39°, 147°)",FALSE,679,rls,NA
Trachinops taeniatus__-39_147,7.5,1194,4,2188,6.25,8.75,5,0.5457038391224863,Trachinops taeniatus,FALSE,-39,147,"Trachinops taeniatus (-39°, 147°)",FALSE,679,rls,NA
Trachinops taeniatus__-39_147,10,551,4,2188,8.75,11.25,5,0.25182815356489946,Trachinops taeniatus,FALSE,-39,147,"Trachinops taeniatus (-39°, 147°)",FALSE,679,rls,NA
Trachinops taeniatus__-39_147,12.5,5,4,2188,11.25,13.75,5,0.00228519195612431,Trachinops taeniatus,FALSE,-39,147,"Trachinops taeniatus (-39°, 147°)",FALSE,679,rls,NA
Notolabrus tetricus__-33_134,2.5,1,12,1444,1.25,3.75,11,6.925207756232687e-4,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,5,1,12,1444,3.75,6.25,11,6.925207756232687e-4,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,7.5,32,12,1444,6.25,8.75,11,0.0221606648199446,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,10,31,12,1444,8.75,11.25,11,0.02146814404432133,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,12.5,90,12,1444,11.25,13.75,11,0.06232686980609418,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,15,204,12,1444,13.75,17.5,11,0.14127423822714685,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,20,348,12,1444,17.5,22.5,11,0.2409972299168975,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,25,347,12,1444,22.5,27.5,11,0.24030470914127425,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,30,168,12,1444,27.5,32.5,11,0.11634349030470914,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,35,139,12,1444,32.5,37.5,11,0.09626038781163436,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
Notolabrus tetricus__-33_134,40,69,12,1444,37.5,45,11,0.04778393351800554,Notolabrus tetricus,TRUE,-33,134,"Notolabrus tetricus (-33°, 134°)",FALSE,930,rls,NA
