species,source,family,class,guild,trophic,lmax,better_dist,bimodal,fished
Abudefduf bengalensis,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,17,normal,FALSE,FALSE
Abudefduf sexfasciatus,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,16,normal,FALSE,FALSE
Abudefduf vaigiensis,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,20,normal,FALSE,FALSE
Abudefduf whitleyi,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,14,normal,FALSE,FALSE
Acanthaluteres brownii,rls,Monacanthidae,Actinopterygii,temperate,Omnivore,55,normal,FALSE,TRUE
Acanthaluteres spilomelanurus,rls,Monacanthidae,Actinopterygii,temperate,Omnivore,14,normal,FALSE,FALSE
Acanthaluteres vittiger,rls,Monacanthidae,Actinopterygii,temperate,Omnivore,35,normal,FALSE,TRUE
Acanthistius ocellatus,rls,Serranidae,Actinopterygii,temperate,Higher carnivore,64,normal,FALSE,FALSE
Acanthochromis polyacanthus,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,14,normal,FALSE,FALSE
Acanthopagrus australis,rls,Sparidae,Actinopterygii,temperate,Benthic invertivore,66,lognormal,FALSE,TRUE
Acanthurus albipectoralis,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,33,normal,FALSE,FALSE
Acanthurus auranticavus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,45,normal,FALSE,FALSE
Acanthurus blochii,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,45,normal,FALSE,FALSE
Acanthurus dussumieri,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,54,normal,FALSE,FALSE
Acanthurus grammoptilus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,35,normal,FALSE,FALSE
Acanthurus lineatus,rls,Acanthuridae,Actinopterygii,tropical,Browsing herbivore,38,normal,FALSE,FALSE
